Authors,Year,Title,Publisher,Place,ISBN,Webpage,,,,
"Le Roux, N.J. and Lubbe, S.",2025,An Introduction into R Applications and Programming: A Tutorial,Github,,,https://sugnet.github.io/RTutorial/,,,,
"Gower, J.C., Lubbe, S. and le Roux, N.J.",2011,Understanding Biplots,Wiley,Chichester,978-0-470-01255-0,http://www.wiley.com/legacy/wileychi/gower/,,,,
