Authors,Title,Conference,Date
"Rowen, A., Lubbe, S, le Roux, N.J. and Schoonees, P. ",Unravelling black box machine learning technique predictions using biplots. ,"5th European Conference on Data Analysis, 4 – 6 July 2018, Paderborn, Germany.",2018-07-04
"Le Roux, N.J., Gower, J.C. and Lubbe, S. ",Biplot visualisations of interactions in a bilinear model having a qualitative depended variable.,"SASA: Annual South African Statistical Association Conference, 27 – 30 November 2017, Bloemfontein.",2017-11-27
"Nienkemper-Swanepoel, J., le Roux, N.J. and Lubbe, S. ",Competing approaches to the visualisation of incomplete categorical data sets.,"SASA: Annual South African Statistical Association Conference, 27 – 30 November 2017, Bloemfontein.",2017-11-27
"Ganey, R. and Lubbe, S. ",Biplots based on Principal Surfaces.,"IFCS: International Federation of Classification Societies Conference, 8 – 10 August 2017, Tokyo, Japan.",2017-08-08
"Lubbe, S.",A comparison of different applications of functional linear discriminant analysis.,"IFCS: International Federation of Classification Societies Conference, 8 – 10 August 2017, Tokyo, Japan.",2017-08-08
"Nienkemper-Swanepoel, J., le Roux, N.J. and Lubbe, S. ",Challenges in visualising and imputing missing categorical data.,"IFCS: International Federation of Classification Societies Conference, 8 – 10 August 2017, Tokyo, Japan.",2017-08-08
"Lubbe, S., Nicol, M.P. and Zar, H.J.",Functional Discriminant Analysis for Multivariate Longitudinal Data.,"WSC: World Statistics Congress, 16 – 21 July 2017, Marrakesh, Morocco.",2017-07-16
"Lubbe, S.",Visualisations associated with bootstrapping cluster analysis.,"DSSV: Data Science, Statistics and Visualisation conference, 12 – 14 July 2017, Lisbon, Portugal.",2017-07-12
"Nienkemper-Swanepoel, J., le Roux, N.J. and Lubbe, S.",The virtues and pitfalls of the visualisation of incomplete categorical data.,"DSSV: Data Science, Statistics and Visualisation conference, 12 – 14 July 2017, Lisbon, Portugal.",2017-07-12
"Ganey, R. and Lubbe, S.",Poster: Principal surfaces.,"SASA: Annual South African Statistical Association Conference, 29 November – 1 December 2016, Cape Town.",2016-11-29
"Joselson, N. and Lubbe, S.",Poster: Uses of Principal Components in Generalized Linear Modeling.,"SASA: Annual South African Statistical Association Conference, 29 November – 1 December 2016, Cape Town.",2016-11-29
"Lubbe, S., Leclezio, L. and de Vries, P.",Multivariate analysis to find natural clusters of Tuberous Sclerosis Complex Associated Neuropsychiatric Disorders.,"SASA: Annual South African Statistical Association Conference, 29 November – 1 December 2016, Cape Town.",2016-11-29
"Mostert, A., Coetzer, R. and Lubbe, S.",Evaluation of fault diagnosis techniques in multivariate statistical process control. ,"SASA: Annual South African Statistical Association Conference, 29 November – 1 December 2016, Cape Town.",2016-11-29
"Nienkemper-Swanepoel, J., le Roux, N.J. and Lubbe, S.",Multidimensional graphical comparisons of imputation methods for missing values in categorical data sets.,"SASA: Annual South African Statistical Association Conference, 29 November – 1 December 2016, Cape Town.",2016-11-29
